iter	Passed	Remaining
330	147805	75465
331	148337	75062
332	148889	74668
333	149536	74320
334	150086	73923
335	150683	73548
336	151217	73140
337	151839	72775
338	152341	72350
339	152370	71703
340	152892	71289
341	153327	70835
342	153346	70190
343	153797	69745
344	154262	69306
345	154808	68903
346	154922	68308
347	155416	67883
348	155963	67479
349	156487	67065
350	157001	66647
351	157638	66279
352	157804	65714
353	158410	65333
354	158934	64916
355	159444	64494
356	160019	64097
357	160063	63488
358	160584	63070
359	161100	62650
360	161724	62270
361	161775	61671
362	161849	61083
363	161973	60517
364	162597	60138
365	163091	59711
366	163559	59273
367	164042	58841
368	164659	58456
369	165262	58065
370	165832	57661
371	166329	57231
372	166819	56799
373	167373	56388
374	167968	55989
375	168424	55544
376	168949	55121
377	169421	54680
378	170109	54309
379	170724	53912
380	171258	53490
381	171792	53066
382	172353	52651
383	172540	52121
384	172999	51675
385	173453	51227
386	174018	50811
387	174584	50395
388	175120	49969
389	175706	49558
390	175776	49001
391	176343	48584
392	176890	48161
393	177000	47619
394	177031	47059
395	177629	46650
396	178326	46266
397	179076	45893
398	179705	45489
399	180285	45071
400	180368	44529
401	181024	44130
402	181254	43627
403	181775	43194
404	182292	42760
405	182851	42335
406	183032	41823
407	183609	41402
408	184172	40977
409	184685	40540
410	185219	40108
411	185896	39706
412	186448	39276
413	187039	38853
414	187095	38320
415	187144	37788
416	187806	37381
417	187937	36868
418	188431	36427
419	189054	36010
420	189682	35593
421	190286	35171
422	190959	34760
423	191482	34322
424	192011	33884
425	192517	33442
426	193092	33011
427	193612	32570
428	194250	32148
429	194322	31633
430	194898	31201
431	195444	30764
432	195953	30320
433	196593	29896
434	196622	29380
435	197226	28950
436	197892	28529
437	197943	28019
438	198507	27583
439	199016	27138
440	199613	26705
441	200184	26268
442	200747	25829
443	201362	25397
444	201892	24953
445	202134	24473
446	202712	24035
447	202839	23543
448	203323	23094
449	203757	22639
450	204333	22200
451	204406	21706
452	204917	21260
453	205449	20816
454	206024	20376
455	206664	19941
456	207312	19506
457	207893	19064
458	207946	18574
459	208436	18124
460	208562	17644
461	209054	17194
462	209602	16750
463	210092	16300
464	210690	15858
465	211235	15412
466	211262	14928
467	211756	14479
468	212370	14037
469	212922	13590
470	213551	13148
471	214137	12703
472	214270	12231
473	214853	11785
474	215513	11342
475	216149	10898
476	216660	10446
477	217292	10000
478	217341	9528
479	217865	9077
480	218535	8632
481	219012	8178
482	219565	7727
483	220172	7278
484	220381	6815
485	220992	6366
486	221720	5918
487	222234	5464
488	222827	5012
489	223481	4560
490	224081	4107
491	224789	3655
492	225462	3201
493	225565	2739
494	226134	2284
495	226678	1828
496	227203	1371
497	227693	914
498	228365	457
499	228920	0
